"1001745.3"	"STREPTOCOCCUS PNEUMONIAE 07AR0125"	"STREPTOCOCCUS PNEUMONIAE 07AR0125"	1001745	"WGS"	"07AR0125"	"SEROTYPE 6C"			"MLST.STREPTOCOCCUS_PNEUMONIAE.1292"				"2011-04-11T00:00:00Z"	"21551297"	"PRJNA64979"	"SAMN02472135"	"GCA_000203715.2"		"AFBY00000000"	"-"	"YALE UNIVERSITY"	"ASSEMBLY"	"SOLEXA PAIRED-END SEQUENCING"	">30X"	"VELVET V. 0.7"			346	2024028	39.6	2008			"BLOOD SAMPLE FROM A PATIENT WITH MENINGITIS."	"BLOOD SAMPLE FROM A PATIENT WITH MENINGITIS."		"UNITED STATES"	"USA: MASSACHUSETTS"						"HUMAN, HOMO SAPIENS"														"-"			"HOST"	"MENINGITIS"	"PROJECT DESCRIPTION NOT PROVIDED."		98.6	97.9	96.4	0.3		"GOOD"	"2014-12-08T22:13:32.681Z"	"2015-03-16T03:17:09.594Z"
"1002339.3"	"PSYCHROBACTER SP. 1501(2011)"	"PSYCHROBACTER SP. 1501(2011)"	1002339	"WGS"	"1501"								"2011-05-13T00:00:00Z"		"PRJNA65121"	"SAMN00259686"	"GCA_000213615.1"	"SRR185898"	"AFHU00000000"	"NZ_AFHU00000000"	"BAYLOR COLLEGE OF MEDICINE"	"ASSEMBLY"	"454"	"22.42X"	"NEWBLER ASSEMBLER V. 2.3-04192010"			234	3050061	41.33	2508	2660		"BLOOD"		NA								"HUMAN, HOMO SAPIENS"														"-"					"REFERENCE GENOME FOR THE HUMAN MICROBIOME PROJECT"		97.8	97.1	98.4	0.8		"GOOD"	"2014-12-08T22:12:41.535Z"	"2015-03-16T03:17:09.594Z"	
"1003201.3"	"RICKETTSIA TYPHI STR. TH1527"	"RICKETTSIA TYPHI STR. TH1527"	1003201	"COMPLETE"	"TH1527"						" "		"2012-03-21T00:00:00Z"		"PRJNA65219"	"SAMN02603529"	"GCA_000277285.1"		"CP003397.1"	"NC_017066.1"	"LOS ALAMOS NATIONAL LAB"	"COMPLETE"				1		1	1112372	28.9	875	838		"BLOOD OF A HUMAN WITH MURINE TYPHUS"	"ISOLATED IN APRIL 1965 THAILAND FROM BLOOD OF A HUMAN WITH MURINE TYPHUS IN THE DISTRICT HOSPITAL IN CHIANG RAI PROVINCE, THAILAND;  THIS AS THE FIRST CASE OF MURINE TYPHUS REPORTED IN THAILAND"	1965								"HUMAN, HOMO SAPIENS"																			"RICKETTSIA TYPHI STRAIN TH1527 WAS ISOLATED IN APRIL 1965 THAILAND FROM BLOOD OF A HUMAN WITH MURINE TYPHUS IN THE DISTRICT HOSPITAL IN CHIANG RAI PROVINCE, THAILAND;  THIS AS THE FIRST CASE OF MURINE TYPHUS REPORTED IN THAILAND.  PATIENT DIAGNOSED WITH BRONCHITIS, FEVER OF UNKNOWN ORIGIN, AND NO RASH.  ISOLATE PASSAGED 9 TIMES IN EMBYONATED CHICKEN EGGS, 6 VERO E6 TISSUE CULTURE PASSAGES, AND POOLED FROM 1-3 PASSAGES IN MOUSE L929 CELLS.  ORGANISM WAS PURIFIED FROM HOST CELLS BY DIFFERENTIAL CENTRIFUGATION AND BANDING IN RENOGRAFIN DENSITY GRADIENTS AND WNA WAS PURIFIED WITH QIAGEN SPIN COLUMNS.RICKETTSIA. THIS GENUS, LIKE OTHER RICKETTSIAL ORGANISMS SUCH AS NEORICKETTSIA AND ANAPLASMA, IS COMPOSED OF OBLIGATE INTRACELLULAR BACTERIA. THERE ARE TWO GROUPS, THE SPOTTED FEVER GROUP, AND THE TYPHUS GROUP. THE LATTER IS COMPOSED OF TWO ORGANISMS, RICKETTSIA PROWAZEKII AND RICKETTSIA TYPHI. THE BACTERIA CAN BE TRANSMITTED VIA AN ARTHROPOD (TICK, FLEAS, MITES, AND/OR LICE) TO A HOST ORGANISM OR MAINTAINED TRANSSTADIALLY AND TRANSOVARIALLY IN THE ARTHROPOD.  WHEN PATHOGENIC IN HUMANS,  THEY TARGET ENDOTHELIAL CELLS AND SOMETIMES MACROPHAGES. THEY ATTACH VIA AN ADHESIN, RICKETTSIAL OUTER MEMBRANE PROTEINS A AND/OR B, AND ARE INTERNALIZED WHERE THEY PERSIST AS CYTOPLASMICALLY FREE ORGANISMS. RICKETTSIA TYPHI. THIS ORGANISM CAUSES MURINE (ENDEMIC) TYPHUS AND IS AN OBLIGATE INTRACELLULAR PATHOGEN THAT INFECTS BOTH THE FLEA VECTOR AND HOSTS SUCH AS HUMANS, COMMONLY  RATS, AND SOME OTHER MAMMALS. IT IS IN THE TYPHUS GROUP ALONG WITH R. PROWAZEKII, AND GENOMIC COMPARISONS DEMONSTRATE COLINEARITY AND SIMILARITY TO THE GENOME OF THAT ORGANISM EXCEPT FOR TWO INDEPENDENT INVERSIONS NEAR THE ORIGIN AND TERMINUS. IN THE FLEA VECTOR, THE BACTERIUM PENETRATES THE GUT EPITHELIAL BARRIER AND IS FOUND IN THE FECES WHICH BECOME INFECTIVE. RICKETTSIA TYPHI STRAIN TH1527. THIS IS THE FIRST STRAIN ISOLATED IN THAILAND FROM A HUMAN CASE OF MURINE TYPHUS. "		99.9	99.8	100			"GOOD"	"2014-12-08T22:12:44.531Z"	"2015-03-16T03:17:09.594Z"	
"1004953.3"	"STAPHYLOCOCCUS AUREUS SUBSP. AUREUS MRSA_PR1"		1004953	"WGS"	"MRSA_PR1"				"MLST.STAPHYLOCOCCUS_AUREUS.239"				"2014-11-17T00:00:00Z"	"25197474"	"PRJNA65467"	"SAMN03196741"	"GCA_000784385.1"		"ANPO00000000"	"-"	"PHARMACOGENOMICS CENTRE, UNIVERSITI TEKNOLOGI MARA"		"ILLUMINA GAIIX"	"500.0X"	"CLC GENOMICS WORKBENCH V. 3.2.0"			25	2762555	32.65	2598			"BLOOD FROM PATIENT"		2009	"MALAYSIA"	"MALAYSIA"						"HUMAN, HOMO SAPIENS"																			"METHICILLIN-RESISTANT STAPHYLOCOCCUS AUREUS IS A PATHOGEN OF IMPORTANCE, NOTABLY FOR ITS RAPID ADAPTATION TO ANTIBIOTICS. ELUCIDATION OF THE WHOLE GENOME SEQUENCE OF THIS STRAIN IS IMPORTANT IN UNRAVELING THE ADAPTIVE POWER OF THIS MICROORGANISM."		99.7	99.5	95.6			"GOOD"	"2015-03-12T13:39:35.173Z"	"2015-03-16T03:17:09.594Z"	
"1008452.3"	"STREPTOCOCCUS MITIS SK1073"	"STREPTOCOCCUS MITIS SK1073"	1008452	"WGS"	"SK1073"				"MLST.STREPTOCOCCUS_PNEUMONIAE.12110"		"CCUG 47273"		"2011-07-06T00:00:00Z"		"PRJNA66111"	"SAMN00621702"	"GCA_000220045.2"	"SRR220894"	"AFQT00000000"	"-"	"J. CRAIG VENTER INSTITUTE"	"ASSEMBLY"	"454-GS-FLX-TITANIUM"	"16.8X"	"CELERA V. 6.1"			54	2114708	39.97	1956	2003		"MOGENS KILIAN, AARHUS UNIVERSITY, DENMARK; HUMAN BLOOD"		NA	"DENMARK"	"DENMARK: AARHUS"						"HUMAN, HOMO SAPIENS"														"-"			"HOST"		"A REFERENCE GENOME FOR THE HUMAN MICROBIOME PROJECT."		99.8	99.3	100	0.2		"GOOD"	"2014-12-08T22:13:30.737Z"	"2015-03-16T03:17:09.594Z"	
"1008453.3"	"STREPTOCOCCUS MITIS SK1080"	"STREPTOCOCCUS MITIS SK1080"	1008453	"WGS"	"SK1080"				"MLST.STREPTOCOCCUS_PNEUMONIAE.9790"				"2011-07-06T00:00:00Z"		"PRJNA66113"	"SAMN00621705"	"GCA_000220085.2"	"SRR220903"	"AFQV00000000"	"-"	"J. CRAIG VENTER INSTITUTE"	"ASSEMBLY"	"454 GS TITANIUM"	"21X"	"CELERA ASSEMBLER V. 6.1"			34	1943752	40.33	1822	1854		"MOGENS KILIAN, AARHUS UNIVERSITY, DENMARK; HUMAN BLOOD"		NA	"DENMARK"	"DENMARK: AARHUS"						"HUMAN, HOMO SAPIENS"														"-"			"HOST"		"A REFERENCE GENOME FOR THE HUMAN MICROBIOME PROJECT."		99.7	99.1	99.3	0.2		"GOOD"	"2014-12-08T22:13:30.747Z"	"2015-03-16T03:17:09.594Z"	
"1019.4"	"CAPNOCYTOPHAGA SPUTIGENA STRAIN D1176"		1019	"COMPLETE"	"D1176"								"2017-09-14T00:00:00Z"		"PRJNA369395"	"SAMN06754875"	"GCA_002302495.1"		"CP022379"		"CENTERS FOR DISEASE CONTROL AND PREVENTION"		"PACBIO; ILLUMINA MISEQ"	"737.4X"	"CANU V. 1.4"	1		1	2855148	38.78	2591	2501		"BLOOD"		1974	"ISRAEL"	"ISRAEL"						"HUMAN, HOMO SAPIENS"																			"SELECT ISOLATES WITHIN THE CAPNOCYTOPHAGA GENUS WERE BIOCHEMICALLY CHARACTERIZED AND SEQUENCED FOR TAXONOMIC EVALUATIONS"	"SAMPLE_TYPE:CELL CULTURE"	99.3	99.3	100			"GOOD"	"2017-09-28T23:31:23.314Z"	"2017-09-28T23:31:23.314Z"	
"1028804.3"	"HAEMOPHILUS HAEMOLYTICUS M21127"	"HAEMOPHILUS HAEMOLYTICUS M21127"	1028804	"WGS"	"M21127"								"2011-07-29T00:00:00Z"	"21952546"	"PRJNA66575"	"SAMN02952885"	"GCA_000222045.2"		"AFQP00000000"	"-"		"ASSEMBLY"						38	1945624	38.57	1949	1808		"BLOOD"	"BLOOD"	2010	"UNITED STATES"	"USA: GEORGIA"						"HUMAN, HOMO SAPIENS"														"-"					"RECENTLY, NONCOMMENSAL H. HAEMOLYTICUS (HHAE) STRAINS HAVE APPEARED IN CLINICALLY DERIVED BLOOD AND KNEE FLUID CULTURES. HHAE STRAINS HAVE TRADITIONALLY BEEN DISTINGUISHED FROM CLOSELY RELATED NONTYPEABLE H. INFLUENZAE (NTHI) STRAINS BY THEIR BETA HEMOLYSIS ACTIVITY ON BLOOD AGAR. HOWEVER, NOT ALL HHAE STRAINS EXHIBIT THIS ACTIVITY. DISTINGUISHING BETWEEN PATHOGENIC AND COMMENSAL STRAINS OF HHAE AND NTHI AND DOCUMENTING THE GENETIC BASIS OF VIRULENCE IN THESE STRAINS ARE CRUCIAL STEPS IN DEVELOPING PUBLIC HEALTH INITIATIVES TO COMBAT DISEASE CAUSED BY THESE STRAINS. "		99.6	98.2	100	7.8		"GOOD"	"2014-12-08T22:11:42.059Z"	"2015-03-16T03:17:09.594Z"	
"1028806.3"	"HAEMOPHILUS HAEMOLYTICUS M21639"	"HAEMOPHILUS HAEMOLYTICUS M21639"	1028806	"WGS"	"M21639"								"2011-07-29T00:00:00Z"	"21952546"	"PRJNA66579"	"SAMN02952887"	"GCA_000222085.2"		"AFQR00000000"	"-"		"ASSEMBLY"						53	2328161	38.59	2500	2224		"BLOOD"	"BLOOD"	2010	"UNITED STATES"	"USA: ILLINOIS"						"HUMAN, HOMO SAPIENS"														"-"					"RECENTLY, NONCOMMENSAL H. HAEMOLYTICUS (HHAE) STRAINS HAVE APPEARED IN CLINICALLY DERIVED BLOOD AND KNEE FLUID CULTURES. HHAE STRAINS HAVE TRADITIONALLY BEEN DISTINGUISHED FROM CLOSELY RELATED NONTYPEABLE H. INFLUENZAE (NTHI) STRAINS BY THEIR BETA HEMOLYSIS ACTIVITY ON BLOOD AGAR. HOWEVER, NOT ALL HHAE STRAINS EXHIBIT THIS ACTIVITY. DISTINGUISHING BETWEEN PATHOGENIC AND COMMENSAL STRAINS OF HHAE AND NTHI AND DOCUMENTING THE GENETIC BASIS OF VIRULENCE IN THESE STRAINS ARE CRUCIAL STEPS IN DEVELOPING PUBLIC HEALTH INITIATIVES TO COMBAT DISEASE CAUSED BY THESE STRAINS. ;GENOME LENGTH TOO LARGE"		99.3	98.4	100	0.8		"GOOD"	"2014-12-08T22:11:42.076Z"	"2015-03-16T03:17:09.594Z"	
"1035187.4"	"STREPTOCOCCUS MITIS SK569"	"STREPTOCOCCUS MITIS SK569"	1035187	"WGS"	"SK569"								"2011-08-04T00:00:00Z"		"PRJNA67187"	"SAMN00621701"	"GCA_000222785.2"	"SRR220893"	"AFUF00000000"	"-"	"J. CRAIG VENTER INSTITUTE"	"ASSEMBLY"	"454"	"21.84X"	"CELERA ASSEMBLER V. 6.1"			54	1975266	40.22	1817	1850		"MOGENS KILIAN, AARHUS UNIVERSITY, DENMARK; HUMAN BLOOD FROM LEUKEMIC CHILD"		NA	"DENMARK"	"DENMARK: AARHUS"						"HUMAN, HOMO SAPIENS"														"-"			"HOST"		"A REFERENCE GENOME FOR THE HUMAN MICROBIOME PROJECT."		99.7	99.3	99.8	0.9		"GOOD"	"2014-12-08T22:13:30.776Z"	"2015-03-16T03:17:09.594Z"	
"1035189.4"	"STREPTOCOCCUS INFANTIS SK970"	"STREPTOCOCCUS INFANTIS SK970"	1035189	"WGS"	"SK970"								"2011-08-10T00:00:00Z"		"PRJNA67191"	"SAMN00621709"	"GCA_000223255.2"	"SRR220993"	"AFUT00000000"	"-"	"J. CRAIG VENTER INSTITUTE"	"ASSEMBLY"	"454"	"25.33X"	"CELERA ASSEMBLER V. 6.1"			9	1945605	39.44	2112	2144		"MOGENS KILIAN, AARHUS UNIVERSITY, DENMARK; HUMAN BLOOD"		NA	"DENMARK"	"DENMARK: AARHUS"						"HUMAN, HOMO SAPIENS"														"-"					"A REFERENCE GENOME FOR THE HUMAN MICROBIOME PROJECT.;MANY FRAMESHIFTED PROTEINS"		99.5	95.6	98.1	12.5		"GOOD"	"2014-12-08T22:13:30.452Z"	"2015-03-16T03:17:09.594Z"	
"103817.8"	"JANIBACTER TERRAE STRAIN YFY001"		103817	"COMPLETE"	"YFY001"								"2016-12-05T00:00:00Z"		"PRJNA300616"	"SAMN04226596"	"GCF_001889125.1"		"CP013290"	"NZ_CP013290.1"	"THE FIRST AFFILIATED HOSPITAL OF NANCHANG UNIVERSITY"		"PACBIO RS II SYSTEM"	"MISSING"	"SMRTANALYSIS V. 2.3.0 HGAP2"	1		1	3401189	71.24	3358	3192		"BLOOD"	"DERIVED FROM A PATIENT ISOLATED FROM JIANGXI PROVINCE, CHINA"	2014	"CHINA"	"CHINA: NANCHANG"						"HUMAN, HOMO SAPIENS"			"SEPSIS"											"C"					"JANIBACTER TERRAE IS AN IMPORTANT PATHOGENIC MICROORGANISM. WE SEQUENCED THE GENOME OF J. TERRAE YFY001, WHICH WAS DERIVED FROM A PATIENT ISOLATED FROM JIANGXI PROVINCE, CHINA."	"COLLECTED_BY:LINGBING ZENG"	97.3	96.6	99.5	0.5		"GOOD"	"2017-01-16T08:00:37.674Z"	"2017-01-16T08:00:37.674Z"	
"103855.15"	"BORDETELLA HINZII STRAIN F582"		103855	"COMPLETE"	"F582"						"ATCC:51730"		"2015-07-16T00:00:00Z"		"PRJNA287884"	"SAMN03790813"	"GCF_001078275.1"		"CP012076"	"NZ_CP012076.1"	"CENTERS FOR DISEASE CONTROL AND PREVENTION"		"PACBIO RSII; ILLUMINA HISEQ"	"482X"	"HGAP V. 3"	1		1	4912977	67.06	4617	4559		"BLOOD"		1994	"UNITED STATES"	"USA: WA"						"HUMAN, HOMO SAPIENS"	"MALE"		"BACTEREMIA"			"HOST_HEALTH_STATE:AIDS PATIENT"													"THIS PROJECT IS AN EFFORT BY THE PERTUSSIS AND DIPHTHERIA LABORATORY AT THE CENTERS FOR DISEASE CONTROL AND PREVENTION TO CHARACTERIZE GENOMES OF BORDETELLA SPECIES OTHER THAN B. PERTUSSIS. MEMBERS OF THE GENUS BORDETELLA CAUSE RESPIRATORY AND OPPORTUNISTIC INFECTION IN A VARIETY OF HOSTS. THESE DATA ARE BEING MADE AVAILABLE TO FACILITATE COMPARATIVE ANALYSES FOR THE STUDY OF THIS IMPORTANT GROUP OF BACTERIAL PATHOGENS."	"COLLECTED_BY:B.T. COOKSON, U. OF WASHINGTON"	97.7	96	100			"GOOD"	"2016-01-17T16:20:51.242Z"	"2016-01-17T16:20:51.242Z"	
